spectraltype,redshift,color,temperature,gravity,metallicity
F8V,0.0001584812,0.499,6155,4.5,-0.15
G8V,2.064206E-05,0.851,5211,4.38,0.36
G5III...,0.0002734244,0.84,4861,2.43,-0.66
G1V,0.00014794,0.712,5613,4.11,-0.94
G0III,-8.730533E-05,0.604,5716,4.06,0.04
F2,7.057118E-05,0.402,6378,3.785,-0.34
O9.5Ib...,0.0002562994,-0.199,9899,2.924,0.09
O9.5Vvar,0.0003300577,0.18,6537,2.497,-2.09
O9.5Vvar,0.0003269861,0.18,6537,2.497,-2.09
O9.5Vvar,0.0003234309,0.18,6537,2.497,-2.09
O9.5Vvar,0.0001466417,0.18,6537,2.497,-2.09
O9.5Vvar,0.0001187704,0.18,6537,2.497,-2.09
O9.5Vvar,0.0003467598,0.18,6537,2.497,-2.09
M1V,0.0008804771,1.474,3705,4.8,0.6
0,0.0001041384,1.633,3714,1.49,-0.57
O9.5Ib...,0.0003911394,-0.199,9899,2.924,0.09
O9.5Vvar,0.000127138,0.18,6537,2.497,-2.09
O9.5Ib...,9.15405E-05,-0.199,9899,2.924,0.09
G1V,-7.320753E-05,0.6,5630,4.5,-0.45
K0,-0.0004733924,0.773,5261,4.55,-0.03
A2,0.0002565756,0.298,7118,4.045,-0.15
G8IV-V,-0.0002466835,0.858,4804,2.5,-0.5
G6V,3.705438E-05,0.603,5474,4.16,-0.67
G8IV-V,-0.0002614761,0.701,5563,4.23,-0.02
G5,-0.0002056407,0.58,5625,4.2,-0.21
G5,-7.431579E-05,0.759,5262,4.5,-0.03
G5,-0.0001579425,0.58,5625,4.2,-0.21
G1V,1.938157E-05,0.6,5630,4.5,-0.45
F9V,-0.0001462047,0.486,5790,3.7,-0.65
K0V,-0.0001192397,0.786,5221,4.5,-0.24
G8V,6.71668E-05,0.851,5211,4.38,0.36
K3V,-1.363778E-05,0.95,4775,4.409,-0.12
K0V,-0.000263835,0.786,5221,4.5,-0.24
G2V,0.0002430782,0.539,5373,4.37,-1.08
O9.5Ib...,-1.330669E-05,-0.199,9899,2.924,0.09
O9.5Vvar,3.942432E-05,0.18,6537,2.497,-2.09
K7V,0.0002091391,1.363,3900,4.232,0.17
M1V,-7.635888E-05,1.474,3705,4.8,0.6
O9.5Vvar,2.183682E-05,0.18,6537,2.497,-2.09
O9.5Vvar,-8.579475E-05,0.18,6537,2.497,-2.09
O9.5Vvar,-0.0001049319,0.18,6537,2.497,-2.09
M1V,-0.0003907902,1.474,3705,4.8,0.6
O9.5Ib...,-0.0001713116,-0.199,9899,2.924,0.09
O9.5Vvar,6.881297E-05,0.18,6537,2.497,-2.09
O9.5Vvar,4.059645E-05,0.18,6537,2.497,-2.09
K7V,0.0001130541,1.363,3900,4.232,0.17
K7V,-0.0003272608,1.363,3900,4.232,0.17
M1V,5.718979E-05,1.474,3705,4.8,0.6
O9.5Vvar,0.0002405161,0.18,6537,2.497,-2.09
O9.5Vvar,6.756512E-05,0.18,6537,2.497,-2.09
M1V,-0.0001338272,1.474,3705,4.8,0.6
O9.5Vvar,-0.0003231483,0.18,6537,2.497,-2.09
O9.5Vvar,-0.00018325,0.18,6537,2.497,-2.09
O9.5Ib...,7.303144E-05,-0.199,9899,2.924,0.09
O9.5Vvar,-2.031415E-05,0.18,6537,2.497,-2.09
B9V,-0.0001950354,0.05,8320,3.972,0
G5Vp,0.0006402254,0.704,5320,4.49,-0.76
K3V,8.956471E-05,0.95,4775,4.409,-0.12
K5V,-4.348334E-05,1.069,4382,4.64,-0.28
G5Vp,-0.0002637274,0.704,5320,4.49,-0.76
K7V,0.0005667616,1.363,3900,4.232,0.17
O9.5Vvar,-9.816126E-05,0.18,6537,2.497,-2.09
K7V,0.0001794037,1.363,3900,4.232,0.17
O9.5Ib...,0.0008529153,-0.199,9899,2.924,0.09
